a,b,c
30.872,2.2961,6.1662
30.869,2.2898,6.1762
30.872,2.2894,6.1862
30.866,2.2902,6.1962
30.886,2.3055,6.2062
30.88,2.2777,6.2162
30.886,2.2707,6.2262
30.901,2.3023,6.2362
30.876,2.2614,6.2462
30.907,2.2984,6.2563
30.923,2.3046,6.2663
30.933,2.333,6.2763
30.914,2.3072,6.2863
30.909,2.2894,6.2963
30.883,2.2705,6.3063
30.901,2.2757,6.3163
30.911,2.2529,6.3263
30.92,2.2673,6.3363
30.928,2.3071,6.3463
30.895,2.2678,6.3564
30.883,2.2718,6.3664
30.873,2.2548,6.3764
30.876,2.2652,6.3864
30.89,2.2856,6.3964
30.852,2.261,6.4064
30.859,2.2678,6.4164
30.822,2.2585,6.4264
30.827,2.2611,6.4364
30.803,2.2484,6.4464
30.769,2.2225,6.4565
30.73,2.1737,6.4665
30.728,2.1934,6.4765
30.771,2.2288,6.4865
30.746,2.2141,6.4965
30.769,2.2319,6.5065
30.741,2.2087,6.5165
30.718,2.1997,6.5265
30.738,2.2176,6.5365
30.76,2.2066,6.5465
30.713,2.1621,6.5566
30.73,2.1942,6.5666
30.763,2.2392,6.5766
30.749,2.2259,6.5866
30.742,2.2084,6.5966
30.772,2.2177,6.6066
30.75,2.2012,6.6166
30.756,2.2017,6.6266
30.776,2.2185,6.6366
30.829,2.2704,6.6466
30.842,2.2687,6.6567
30.849,2.2809,6.6667
30.851,2.2649,6.6767
30.886,2.2934,6.6867
30.841,2.248,6.6967
30.884,2.2721,6.7067
30.881,2.2813,6.7167
30.877,2.2712,6.7267
30.875,2.2807,6.7367
30.878,2.2628,6.7467
30.897,2.2983,6.7568
30.887,2.2943,6.7668
30.902,2.292,6.7768
30.869,2.2489,6.7868
30.877,2.2618,6.7968
30.86,2.249,6.8068
30.875,2.2917,6.8168
30.857,2.2823,6.8268
30.842,2.2646,6.8368
30.873,2.2756,6.8468
30.857,2.2514,6.8569
30.862,2.2665,6.8669
30.866,2.2637,6.8769
30.876,2.2973,6.8869
30.874,2.2778,6.8969
30.852,2.2712,6.9069
30.877,2.2864,6.9169
30.885,2.3061,6.9269
30.838,2.2611,6.9369
30.855,2.2908,6.9469
30.887,2.3277,6.957
30.867,2.3101,6.967
30.875,2.3171,6.977
30.871,2.3157,6.987
30.857,2.2848,6.997
30.827,2.2565,7.007
30.838,2.2852,7.017
30.867,2.313,7.027
30.897,2.3293,7.037
30.862,2.3019,7.047
30.835,2.257,7.0571
30.884,2.3106,7.0671
30.874,2.3117,7.0771
30.874,2.3176,7.0871
30.861,2.2975,7.0971
30.887,2.3231,7.1071
30.924,2.3573,7.1171
30.932,2.3508,7.1271
