a,b,c
31.527,4.058,7.37
31.556,4.0411,7.38
31.611,4.0636,7.39
31.665,4.1047,7.4
31.553,3.9849,7.41
31.609,4.0163,7.42
31.67,4.0424,7.43
31.698,4.0444,7.44
31.735,4.0735,7.45
31.74,4.0562,7.46
31.727,4.0293,7.47
31.696,3.9881,7.48
31.745,4.0086,7.49
31.814,4.0436,7.5
31.8,4.0294,7.51
31.891,4.1142,7.52
31.894,4.1071,7.53
31.89,4.0839,7.54
31.923,4.129,7.55
31.995,4.1834,7.56
31.949,4.1598,7.57
31.946,4.1611,7.58
31.936,4.1678,7.59
31.934,4.1779,7.6
31.831,4.1299,7.61
31.846,4.1472,7.62
31.877,4.1731,7.63
31.814,4.1353,7.64
31.816,4.1363,7.65
31.788,4.1421,7.66
31.7,4.0919,7.67
31.636,4.0541,7.68
31.61,4.0717,7.69
31.592,4.0796,7.7
31.556,4.0813,7.71
31.51,4.0676,7.72
31.5,4.048,7.73
31.522,4.1185,7.74
31.442,4.0571,7.75
31.412,4.0551,7.76
31.416,4.0557,7.77
31.41,4.0645,7.78
31.358,4.0105,7.79
31.384,4.0327,7.8
31.378,4.025,7.81
31.364,4.0025,7.82
31.396,4.0166,7.83
31.46,4.0561,7.84
31.465,4.0306,7.85
31.398,3.9538,7.86
31.477,3.9986,7.87
31.498,4.0143,7.88
31.52,4.031,7.89
31.617,4.0797,7.9
31.652,4.0776,7.91
31.626,4.0145,7.92
31.671,4.0117,7.93
31.68,3.9926,7.94
31.733,4.0238,7.95
31.732,3.9708,7.96
31.839,4.0134,7.97
31.842,4.012,7.98
31.887,4.0265,7.99
31.868,3.9917,8
31.904,4.0123,8.01
31.908,3.9943,8.02
31.972,4.034,8.03
31.888,3.9903,8.04
31.89,3.9916,8.05
31.903,3.9873,8.06
31.894,3.9812,8.07
31.874,3.9993,8.08
31.861,3.9777,8.09
31.844,4.0142,8.1
31.771,3.9619,8.11
31.77,3.9799,8.12
31.685,3.9143,8.13
31.63,3.9142,8.14
31.608,3.9338,8.15
31.544,3.925,8.16
31.561,3.9582,8.17
31.505,3.9566,8.18
31.442,3.9276,8.19
31.403,3.9248,8.2
31.374,3.8989,8.21
31.338,3.9191,8.22
31.258,3.8639,8.23
31.249,3.8857,8.24
31.298,3.9171,8.25
